run,segment,pixel,accepted,chi2r,cen1,cen1_err_pct,cen2,cen2_err_pct,attempt,window
9469,16,1097,0,,,,,,,
9469,16,1101,0,,,,,,,
9469,17,1017,0,,,,,,,
9469,18,12,0,,,,,,,
9469,18,17,0,,,,,,,
9469,18,1106,0,,,,,,,
9469,18,1109,0,,,,,,,
9469,18,1110,0,,,,,,,
9469,18,1118,0,,,,,,,
9469,19,1019,0,,,,,,,
9469,19,1029,0,,,,,,,
9469,19,1032,0,,,,,,,
9469,19,1077,0,,,,,,,
9469,20,77,0,,,,,,,
9469,20,1015,0,,,,,,,
9469,20,1037,0,,,,,,,
9469,20,1038,0,,,,,,,
9469,21,110,0,,,,,,,
9469,21,1010,0,,,,,,,
9469,21,1019,0,,,,,,,
9469,21,1022,0,,,,,,,
9469,22,1012,0,,,,,,,
9469,22,1015,0,,,,,,,
9469,22,1020,0,,,,,,,
9469,22,1023,0,,,,,,,
9469,22,1024,0,,,,,,,
9469,22,1049,0,,,,,,,
9469,23,1012,0,,,,,,,
9469,24,1116,0,,,,,,,
9469,24,1119,0,,,,,,,
9469,26,40,0,,,,,,,
9469,26,86,0,,,,,,,
9469,26,1043,0,,,,,,,
9469,26,1073,0,,,,,,,
9469,26,1077,0,,,,,,,
9469,26,1088,0,,,,,,,
9469,27,47,0,,,,,,,
9469,27,50,0,,,,,,,
9469,27,96,0,,,,,,,
9469,27,1027,0,,,,,,,
9469,27,1028,0,,,,,,,
9469,27,1041,0,,,,,,,
9469,27,1073,0,,,,,,,
9469,27,1076,0,,,,,,,
9469,28,95,0,,,,,,,
9469,28,1027,0,,,,,,,
9469,28,1030,0,,,,,,,
9469,28,1063,0,,,,,,,
9469,30,65,0,,,,,,,
9469,30,1020,0,,,,,,,
9469,30,1023,0,,,,,,,
9469,30,1024,0,,,,,,,
9469,30,1053,0,,,,,,,
9469,30,1065,0,,,,,,,
9469,31,109,0,,,,,,,
9469,31,1009,0,,,,,,,
9469,31,1012,0,,,,,,,
9469,31,1013,0,,,,,,,
9469,31,1021,0,,,,,,,
9469,31,1039,0,,,,,,,
9469,31,1050,0,,,,,,,
9469,32,79,0,,,,,,,
9469,32,1090,0,,,,,,,
9469,33,20,0,,,,,,,
9469,33,1063,0,,,,,,,
9469,33,1076,0,,,,,,,
9469,33,1079,0,,,,,,,
9469,33,1108,0,,,,,,,
9469,34,18,0,,,,,,,
9469,34,1101,0,,,,,,,
9469,34,1110,0,,,,,,,
9469,36,1020,0,,,,,,,
9469,37,61,0,,,,,,,
9469,37,1049,0,,,,,,,
9469,37,1061,0,,,,,,,
9469,37,1062,0,,,,,,,
9469,37,1065,0,,,,,,,
9469,37,1098,0,,,,,,,
9469,37,1107,0,,,,,,,
9469,38,12,0,,,,,,,
9469,38,1079,0,,,,,,,
9469,38,1080,0,,,,,,,
9469,38,1091,0,,,,,,,
9469,38,1106,0,,,,,,,
9469,38,1117,0,,,,,,,
9469,38,1118,0,,,,,,,
9469,39,96,0,,,,,,,
9469,39,100,1,1.07,30.0,6.4,40.7,13.2,predicted-start,predicted window
9469,39,1018,0,,,,,,,
9469,39,1028,0,,,,,,,
9469,39,1060,0,,,,,,,
9469,39,1063,0,,,,,,,
9469,39,1064,0,,,,,,,
9469,40,1053,0,,,,,,,
9469,40,1062,0,,,,,,,
9469,40,1099,0,,,,,,,
9469,41,1037,0,,,,,,,
9469,41,1040,0,,,,,,,
9469,41,1041,0,,,,,,,
9469,42,105,0,,,,,,,
9469,42,1017,0,,,,,,,
9469,42,1027,0,,,,,,,
9469,42,1030,0,,,,,,,
9469,43,1107,0,,,,,,,
9469,43,1119,0,,,,,,,
9469,44,88,0,,,,,,,
9469,44,1030,0,,,,,,,
9469,44,1043,0,,,,,,,
9469,44,1044,0,,,,,,,
9469,44,1074,0,,,,,,,
9469,47,1009,0,,,,,,,
9469,47,1012,0,,,,,,,
9469,47,1039,0,,,,,,,
9469,47,1050,0,,,,,,,
9469,47,1051,0,,,,,,,
9469,48,27,0,,,,,,,
9469,48,1052,0,,,,,,,
9469,48,1064,0,,,,,,,
9469,48,1068,0,,,,,,,
9469,48,1096,0,,,,,,,
9469,51,27,0,,,,,,,
9469,51,1052,0,,,,,,,
9469,51,1055,0,,,,,,,
9469,51,1064,0,,,,,,,
9469,51,1096,0,,,,,,,
9469,51,1097,0,,,,,,,
9469,52,1029,0,,,,,,,
