run,segment,pixel,change,old,new,under_check_row
8627,0,2043,added,,Bi-207-8779,
8627,0,2044,added,,Bi-207-8779,
8628,0,48,added,,Bi-207-9176,
8628,0,69,added,,Bi-207-8779,
8628,0,119,added,,Bi-207-8890,
8628,0,2010,added,,Cd-109-9178,
8628,0,2011,added,,Cd-109-9178,
8628,0,2014,added,,Bi-207-8890,
8628,0,2019,added,,Cd-109-9178,
8628,0,2020,added,,Cd-109-9178,
8628,0,2022,added,,Bi-207-8890,
8628,0,2023,added,,Bi-207-8890,
8628,0,2037,added,,Bi-207-9176,
8628,0,2041,added,,Bi-207-9177,
8628,0,2048,added,,Bi-207-9176,
8628,0,2049,added,,Bi-207-9176,
8628,0,2052,added,,Bi-207-9177,
8628,0,2053,added,,Bi-207-9177,
8628,0,2056,added,,Bi-207-8779,
8628,0,2061,added,,Bi-207-9176,
8628,0,2062,added,,Bi-207-9176,
8628,0,2065,added,,Bi-207-9177,
8628,0,2066,added,,Bi-207-9177,
8628,0,2068,added,,Bi-207-8779,
8628,0,2069,added,,Bi-207-8779,
8629,0,26,added,,Bi-207-9176,
8629,0,36,added,,Bi-207-9176,
8629,0,69,added,,Bi-207-8779,
8629,0,91,added,,Bi-207-8890,
8629,0,101,added,,Bi-207-8890,
8629,0,102,added,,Bi-207-8890,
8629,0,111,added,,Bi-207-8890,
8629,0,2019,added,,Cd-109-9178,
8629,0,2020,added,,Cd-109-9178,
8629,0,2023,added,,Bi-207-8890,
8629,0,2028,added,,Cd-109-9178,
8629,0,2029,added,,Cd-109-9178,
8629,0,2030,added,,Cd-109-9178,
8629,0,2032,added,,Bi-207-8890,
8629,0,2033,added,,Bi-207-8890,
8629,0,2039,added,,Cd-109-9178,
8629,0,2040,added,,Cd-109-9178,
8629,0,2043,added,,Bi-207-8890,
8629,0,2061,added,,Bi-207-9176,
8629,0,2062,added,,Bi-207-9176,
8629,0,2064,added,,Bi-207-9177,
8629,0,2065,added,,Bi-207-9177,
8629,0,2066,added,,Bi-207-9177,
8629,0,2068,added,,Bi-207-8779,
8629,0,2069,added,,Bi-207-8779,
8629,0,2073,added,,Bi-207-9176,
8629,0,2074,added,,Bi-207-9176,
8629,0,2077,added,,Bi-207-9177,
8629,0,2078,added,,Bi-207-9177,
8629,0,2081,added,,Bi-207-8779,
8630,0,24,added,,Bi-207-8779,
8630,0,33,added,,Bi-207-8779,
8630,0,34,added,,Bi-207-8779,
8630,0,44,added,,Bi-207-8779,
8630,0,2039,added,,Cd-109-9178,
8630,0,2040,added,,Cd-109-9178,
8630,0,2043,added,,Bi-207-8890,
8630,0,2050,added,,Cd-109-9178,
8630,0,2051,added,,Cd-109-9178,
8630,0,2052,added,,Cd-109-9178,
8630,0,2054,added,,Bi-207-8890,
8630,0,2055,added,,Bi-207-8890,
8630,0,2063,added,,Cd-109-9178,
8630,0,2064,added,,Cd-109-9178,
8630,0,2067,added,,Bi-207-8890,
8630,0,2085,added,,Bi-207-9176,
8630,0,2086,added,,Bi-207-9176,
8630,0,2088,added,,Bi-207-9177,
8630,0,2089,added,,Bi-207-9177,
8630,0,2090,added,,Bi-207-9177,
8630,0,2095,added,,Bi-207-9176,
8630,0,2096,added,,Bi-207-9176,
8630,0,2099,added,,Bi-207-9177,
8630,0,2100,added,,Bi-207-9177,
8631,0,2051,added,,Cd-109-9178,
8631,0,2054,added,,Bi-207-8890,
8631,0,2055,added,,Bi-207-8890,
8631,0,2063,added,,Cd-109-9178,
8631,0,2064,added,,Cd-109-9178,
8631,0,2066,added,,Bi-207-8890,
8631,0,2067,added,,Bi-207-8890,
8631,0,2068,added,,Bi-207-8890,
8631,0,2076,added,,Cd-109-9178,
8631,0,2079,added,,Bi-207-8890,
8631,0,2080,added,,Bi-207-8890,
8631,0,2095,added,,Bi-207-9176,
8631,0,2096,added,,Bi-207-9176,
8631,0,2099,added,,Bi-207-9177,
8631,0,2100,added,,Bi-207-9177,
8631,0,2105,added,,Bi-207-9176,
8631,0,2106,added,,Bi-207-9176,
8631,0,2109,added,,Bi-207-9177,
8631,0,2110,added,,Bi-207-9177,
8631,0,2114,added,,Bi-207-9176,
8632,0,72,added,,Bi-207-9176,
8632,0,98,added,,Bi-207-9177,
8632,0,2004,added,,Cd-109-9178,
8632,0,2011,added,,Cd-109-9178,
8632,0,2012,added,,Cd-109-9178,
8632,0,2026,added,,Bi-207-9176,
8632,0,2027,added,,Bi-207-9176,
8632,0,2030,added,,Bi-207-9177,
8632,0,2031,added,,Bi-207-9177,
8632,0,2036,added,,Bi-207-9176,
8632,0,2037,added,,Bi-207-9176,
8632,0,2040,added,,Bi-207-9177,
8632,0,2041,added,,Bi-207-9177,
8632,0,2042,added,,Bi-207-9177,
8632,0,2044,added,,Bi-207-8779,
8632,0,2048,added,,Bi-207-9176,
8632,0,2055,added,,Bi-207-8779,
8632,0,2056,added,,Bi-207-8779,
8635,0,91,added,,Bi-207-8779,
8635,0,104,added,,Cd-109-9178,
8635,0,113,added,,Cd-109-9178,
8635,0,2009,added,,Cd-109-9178,
8635,0,2010,added,,Cd-109-9178,
8635,0,2012,added,,Bi-207-8890,
8635,0,2013,added,,Bi-207-8890,
8635,0,2017,added,,Cd-109-9178,
8635,0,2018,added,,Cd-109-9178,
8635,0,2020,added,,Bi-207-8890,
8635,0,2021,added,,Bi-207-8890,
8635,0,2039,added,,Bi-207-9177,
8635,0,2047,added,,Bi-207-9176,
8635,0,2048,added,,Bi-207-9176,
8635,0,2050,added,,Bi-207-9177,
8635,0,2051,added,,Bi-207-9177,
8635,0,2054,added,,Bi-207-8779,
8635,0,2055,added,,Bi-207-8779,
8635,0,2059,added,,Bi-207-9176,
8635,0,2060,added,,Bi-207-9176,
