run_number,board_channel,pixel_number
8623,131,1050
8623,132,1062
8623,133,1064
8623,134,1040
8623,135,1052
8623,136,1066
8623,137,1053
8623,138,1041
8623,139,1065
8623,140,1076
8623,141,1089
8623,142,1078
8623,143,1088
8623,144,1087
8623,145,1077
8623,146,1030
8623,147,1039
8623,148,1028
8623,149,1020
8623,150,1029
8623,151,1038
8623,152,1054
8623,153,1042
8623,154,1032
8623,155,1067
8623,156,1043
8623,157,1031
8623,158,1080
8623,159,1090
8623,160,1100
8623,161,1091
8623,162,1079
8623,163,1101
8623,164,1108
8623,165,1098
8623,166,1107
8623,167,1099
8623,168,1106
8623,169,1096
8623,170,1085
8623,171,1097
8623,172,1074
8623,173,1086
8623,174,1048
8623,175,1037
8623,176,1026
8623,177,1061
8623,178,1049
8623,179,1027
8623,180,1019
8623,181,1010
8623,182,1017
8623,183,1011
8623,184,1009
8623,185,1018
8623,186,1044
8623,187,1033
8623,188,1022
8623,189,1056
8623,190,1069
8623,191,1023
8623,192,1055
8623,193,1092
8623,194,1081
8623,195,1068
8623,196,1109
8623,197,1118
8623,198,1102
8623,199,1117
8623,200,1110
8623,201,1111
8623,202,1095
8623,203,1116
8623,204,1084
8623,205,1105
8623,206,1115
8623,207,1094
8623,208,1012
8623,209,1021
8623,210,1004
8623,211,1013
8623,212,1072
8623,213,1047
8623,214,1073
8623,215,1060
8623,216,1059
8623,217,1036
8623,218,1014
8623,219,1112
8623,220,1114
8623,221,58
8623,222,58
8623,223,0
8623,224,58
8623,225,58
8623,226,58
8623,227,0
8623,228,0
8623,229,58
8623,230,0
8623,231,58
8623,0,0
8623,0,0
8623,0,0
8623,0,0
8623,0,0
8623,0,0
8623,0,0
8623,0,0
8623,0,0
8623,0,0
8623,0,0
8623,0,0
8623,0,0
8623,0,0
8623,0,0
8623,0,0
8623,0,0
8623,0,0
8623,0,0
8623,0,0
8623,0,0
8623,0,0
8623,0,0
8623,0,0
8624,0,51
8624,1,63
8624,2,75
8624,3,50
8624,4,62
8624,5,64
8624,6,40
8624,7,58
8624,8,66
8624,9,53
8624,10,41
8624,11,65
8624,12,76
8624,13,89
8624,14,78
8624,15,88
8624,16,87
8624,17,77
8624,18,30
8624,19,39
8624,20,28
8624,21,20
8624,22,29
8624,23,38
8624,24,58
8624,25,42
8624,26,32
8624,27,67
8624,28,43
8624,29,31
8624,30,80
8624,31,90
8624,32,100
8624,33,91
8624,34,79
8624,35,101
8624,36,108
8624,37,98
8624,38,107
8624,39,99
8624,40,106
8624,41,96
8624,42,85
8624,43,97
8624,44,74
8624,45,86
8624,46,48
8624,47,37
8624,48,26
8624,49,61
8624,50,49
8624,51,27
8624,52,19
8624,53,10
8624,54,17
8624,55,11
8624,56,9
8624,57,18
8624,58,44
8624,59,33
8624,60,22
8624,61,56
8624,62,69
8624,63,23
8624,64,55
8624,65,92
8624,66,81
8624,67,68
8624,68,109
8624,69,118
8624,70,102
8624,71,117
8624,72,110
8624,73,111
8624,74,95
8624,75,116
8624,76,84
8624,77,105
8624,78,115
8624,79,94
8624,80,12
8624,81,21
